,AWC_cm.per.cm.,Sand_Percent,Silt_Percent,Clay_Percent,Moist.BD_g.per.cm3.,OM_Percent
194,0.1,95,1,4,1.65,1.8
195,0.08,96,2,2,1.54,0.8
196,0.11,87,7,6,1.51,2
197,0.11,78,16,6,1.52,2
198,0.11,87,7,6,1.51,2
199,0.17,64,27,9,1.4,6
200,0.08,84,8,8,1.55,0.8
201,0.11,86,7,7,1.51,2
202,0.19,40,38,22,1.35,13
204,0.08,96,2,2,1.55,0.8
205,0.11,87,7,6,1.51,1.5
206,0.08,96,2,2,1.55,0.8
207,0.11,86,7,7,1.5,2
208,0.17,64,27,9,1.38,6
210,0.11,87,7,6,1.45,1.5
211,0.11,87,7,6,1.53,1.5
212,0.11,63,27,10,1.51,2
213,0.17,70,22,8,1.4,6
214,0.08,93,3,4,1.54,0.8
215,0.08,93,3,4,1.54,0.8
216,0.08,93,3,4,1.58,0.8
217,0.08,94,3,3,1.59,0.8
218,0.08,94,3,3,1.59,0.8
219,0.08,93,3,4,1.58,0.8
220,0.11,87,7,6,1.5,1.5
221,0.11,87,7,6,1.5,1.5
222,0.08,94,2,4,1.54,0.8
223,0.1,95,1,4,1.65,1.8
224,0.08,94,3,3,1.59,0.8
225,0.08,96,1,3,1.55,6
226,0.08,93,3,4,1.55,2
228,0.1,87,7,6,1.3,2
229,0.11,87,7,7,1.5,1.5
230,0.1,87,7,6,1.3,2
231,0.11,87,7,7,1.5,1.5
232,0.1,95,1,4,1.65,1.8
233,0.11,87,7,6,1.51,2
234,0.14,63,26,12,1.35,8
235,0.17,64,27,10,1.4,6
236,0.14,63,26,12,1.35,8
237,0.17,64,27,10,1.4,6
238,0.12,86,7,8,1.5,6
239,0.14,87,2,12,1.35,8
240,0.12,86,7,8,1.5,6
241,0.14,87,2,12,1.35,8
243,0.11,87,7,7,1.5,6
244,0.11,86,7,7,1.51,2
245,0.08,93,3,4,1.54,0.8
246,0.08,93,3,4,1.58,0.8
247,0.08,94,3,3,1.59,0.8
248,0.08,94,3,3,1.59,0.8
249,0.08,93,3,4,1.58,0.8
250,0.08,93,3,4,1.55,2
251,0.2,58,20,22,1.3,3
252,0.1,87,7,6,1.6,2
